temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,weather_main
279.95,279.95,279.95,1020,56,1,258,clear
278.35,278.35,278.35,1020,61,1,258,clear
280.95,280.95,280.95,1021,44,3,245,clear
280.05,280.05,280.05,1021,45,3,280,clear
280.35,280.35,280.35,1021,43,3,286,clear
279.95,279.95,279.95,1021,45,4,296,clear
279.75,279.75,279.75,1021,45,9,313,clear
279.35,279.35,279.35,1021,47,3,302,clear
278.95,278.95,278.95,1020,49,6,338,clouds
279.25,279.25,279.25,1020,48,4,5,clouds
277.75,277.75,277.75,1019,53,4,298,clouds
277.25,277.25,277.25,1019,56,3,260,clouds
276.85,276.85,276.85,1018,61,3,220,clouds
276.85,276.85,276.85,1018,60,4,257,clouds
276.55,276.55,276.55,1018,63,1,261,clouds
276.85,276.85,276.85,1018,66,1,205,clouds
278.75,278.75,278.75,1018,59,1,261,clouds
281.35,281.35,281.35,1017,51,1,210,clouds
283.05,283.05,283.05,1016,46,1,243,clouds
283.75,283.75,283.75,1015,46,9,210,clouds
283.95,283.95,283.95,1013,49,3,76,clouds
284.25,284.25,284.25,1012,48,3,154,clouds
283.5,283.5,283.5,1012,50,4,82,clouds
282.75,282.75,282.75,1011,52,6,11,clouds
281.85,281.85,281.85,1010,56,1,207,clouds
281.65,281.65,281.65,1011,59,4,239,clouds
279.45,279.45,279.45,1010,81,6,300,rain
278.95,278.95,278.95,1010,87,1,356,rain
278.65,278.65,278.65,1009,90,1,307,rain
278.55,278.55,278.55,1009,91,1,251,rain
278.35,278.35,278.35,1007,93,1,265,rain
278.25,278.25,278.25,1007,94,1,265,rain
278.25,278.25,278.25,1006,94,1,335,rain
278.45,278.45,278.45,1006,91,1,231,rain
278.35,278.35,278.35,1005,93,1,335,rain
278.25,278.25,278.25,1005,95,1,336,rain
278.15,278.15,278.15,1006,94,4,9,rain
278.25,278.25,278.25,1006,94,3,9,rain
278.35,278.35,278.35,1007,93,3,19,rain
278.55,278.55,278.55,1007,93,2,317,rain
278.95,278.95,278.95,1008,91,2,317,rain
279.45,279.45,279.45,1009,92,5,10,clouds
280.25,280.25,280.25,1008,87,9,294,clouds
280.55,280.55,280.55,1008,86,1,347,clouds
280.85,280.85,280.85,1008,83,4,6,clouds
280.55,280.55,280.55,1008,87,3,263,clouds
280.571,280.571,280.571,1008,79,3,286,rain
281.748,281.748,281.748,1008,54,4,126,rain
281.191,281.191,281.191,1008,55,4,240,rain
279.8775,279.8775,279.8775,1009,62,3,114,clouds
279.5726563,279.5726563,279.5726563,1010,62,3,309,clouds
278.5113125,278.5113125,278.5113125,1010,67,2,263,clouds
277.45,277.45,277.45,1011,73,1,218,clouds
276.2,276.2,276.2,1011,76,2,269,clouds
274.95,274.95,274.95,1011,80,3,321,clouds
276.45,276.45,276.45,1011,69,6,258,clouds
276.25,276.25,276.25,1011,67,4,311,clouds
275.85,275.85,275.85,1011,68,1,227,clouds
275.75,275.75,275.75,1010,67,11,256,clouds
275.75,275.75,275.75,1010,66,4,304,clouds
274.85,274.85,274.85,1010,71,3,288,clouds
275.75,275.75,275.75,1010,66,4,265,clouds
275.45,275.45,275.45,1010,68,8,271,clouds
277.35,277.35,277.35,1010,61,3,305,clouds
279,279,279,1010,57,3,305,clouds
280.65,280.65,280.65,1010,53,3,305,clouds
280.75,280.75,280.75,1009,56,3,305,clouds
282.55,282.55,282.55,1009,43,1,338,clouds
282.65,282.65,282.65,1008,49,3,84,clouds
282.85,282.85,282.85,1008,52,2,306,clouds
282.95,282.95,282.95,1008,52,2,306,clouds
283.05,283.05,283.05,1008,53,2,306,clouds
279.65,279.65,279.65,1008,68,1,314,clouds
276.95,276.95,276.95,1009,79,1,314,clouds
275.85,275.85,275.85,1009,81,1,320,clouds
275.15,275.15,275.15,1009,81,1,320,clouds
275.1,275.1,275.1,1010,81,1,320,clouds
275.05,275.05,275.05,1010,81,1,320,clouds
279.35,279.35,279.35,1010,60,2,287,clouds
277.95,277.95,277.95,1010,65,2,287,clouds
275.762,275.762,275.762,1010,74,2,282,clouds
273.574,273.574,273.574,1009,84,2,278,clouds
276.25,276.25,276.25,1009,71,1,319,clouds
273.918,273.918,273.918,1009,82,7,251,clouds
276.45,276.45,276.45,1009,71,12,229,clouds
277.85,277.85,277.85,1009,68,9,264,clouds
278.35,278.35,278.35,1009,68,11,238,clouds
278.85,278.85,278.85,1010,67,8,239,clouds
279.35,279.35,279.35,1010,66,6,240,clouds
280.8446563,280.8446563,280.8446563,1009,59,5,246,clouds
282.3393125,282.3393125,282.3393125,1008,53,4,253,clouds
281.75,281.75,281.75,1009,62,9,326,clear
283.792,283.792,283.792,1007,51,8,240,clouds
283.75,283.75,283.75,1007,55,12,220,clouds
283.35,283.35,283.35,1006,49,14,311,clouds
280.95,280.95,280.95,1007,66,6,293,clouds
